date,value,value_high,value_low,iso_code
2022-11-01,114488,134307,100194,SLB
2022-11-02,114488,134307,100194,SLB
2022-11-03,114488,134307,100210,SLB
2022-11-04,114488,134307,100194,SLB
2022-11-05,114488,134307,100194,SLB
2022-11-06,114488,134307,100194,SLB
2022-11-07,114488,134307,100194,SLB
2022-11-08,114488,134307,100194,SLB
2022-11-09,114508,134307,100194,SLB
2022-11-10,114508,134307,100194,SLB
2022-11-11,114357,133720,100162,SLB
2022-11-12,114337,133720,100162,SLB
2022-11-13,114337,133720,100162,SLB
2022-11-14,114337,133720,100162,SLB
2022-11-15,114337,133720,100162,SLB
2022-11-16,121570,137611,106108,SLB
2022-11-17,112285,124887,99452,SLB
2022-11-18,112285,124887,99452,SLB
2022-11-19,112285,124887,99452,SLB
2022-11-20,112285,124887,99452,SLB
2022-11-21,112322,124946,99523,SLB
2022-11-22,112322,124946,99523,SLB
2022-11-23,112322,124946,99523,SLB
2022-11-24,112322,124946,99523,SLB
2022-11-25,112301,124887,99452,SLB
2022-11-26,112301,124887,99452,SLB
2022-11-27,112301,124887,99452,SLB
2022-11-28,112328,124887,100013,SLB
2022-11-29,112328,124887,100013,SLB
2022-11-30,112328,124887,100013,SLB
2022-12-01,112397,125004,100074,SLB
2022-12-02,112397,125004,100074,SLB
2022-12-03,112397,125004,100074,SLB
2022-12-04,112397,125004,100074,SLB
2022-12-05,112397,125004,100074,SLB
2022-12-06,112409,124825,100074,SLB
2022-12-07,112405,124825,100074,SLB
2022-12-08,112405,124825,100074,SLB
2022-12-09,112409,124825,100074,SLB
2022-12-10,112409,124825,100074,SLB
2022-12-11,112504,124982,99938,SLB
2022-12-12,112504,124982,99938,SLB
2022-12-13,112504,124982,99938,SLB
2022-12-14,112504,124982,99938,SLB
2022-12-15,112504,124982,99938,SLB
2022-12-16,112504,124982,99938,SLB
2022-12-17,112504,124982,99938,SLB
2022-12-18,112504,124982,99938,SLB
2022-12-19,112504,124982,99938,SLB
2022-12-20,112504,124982,99938,SLB
2022-12-21,112496,124567,99758,SLB
2022-12-22,112515,124567,99758,SLB
2022-12-23,112515,124567,99758,SLB
2022-12-24,112515,124567,99759,SLB
2022-12-25,112516,124692,99761,SLB
2022-12-26,112507,124692,99761,SLB
2022-12-27,112507,124692,99761,SLB
2022-12-28,112507,124692,99761,SLB
2022-12-29,112507,124692,99761,SLB
2022-12-30,112507,124692,99761,SLB
2022-12-31,112228,124340,99331,SLB
2023-01-01,112251,124304,99291,SLB
2023-01-02,112251,124304,99291,SLB
2023-01-03,112251,124304,99291,SLB
2023-01-04,112251,124304,99291,SLB
2023-01-05,112208,124136,99170,SLB
2023-01-06,112208,124136,99170,SLB
2023-01-07,112209,124136,99170,SLB
2023-01-08,112209,124136,99187,SLB
2023-01-09,112209,124136,99187,SLB
2023-01-10,112235,124136,99187,SLB
2023-01-11,112032,123883,99244,SLB
2023-01-12,112032,123883,99244,SLB
2023-01-13,112032,123883,99244,SLB
2023-01-14,112032,123883,99244,SLB
2023-01-15,112026,124032,99399,SLB
2023-01-16,112026,124032,99399,SLB
2023-01-17,111577,123397,99443,SLB
2023-01-18,111552,123397,99443,SLB
2023-01-19,111577,123397,99443,SLB
2023-01-20,111577,123397,99443,SLB
2023-01-21,111372,123388,99260,SLB
2023-01-22,111372,123388,99260,SLB
2023-01-23,111346,123388,99260,SLB
2023-01-24,110610,122371,98802,SLB
2023-01-25,110611,122371,98802,SLB
2023-01-26,110610,122371,98802,SLB
2023-01-27,110610,122371,98802,SLB
2023-01-28,110563,122371,98802,SLB
2023-01-29,110610,122371,98802,SLB
2023-01-30,110611,122371,98802,SLB
2023-01-31,110612,122494,98735,SLB
2023-02-01,110506,122745,98711,SLB
