date,value,value_high,value_low,iso_code
2022-11-01,11738691,11738691,11738691,BFA
2022-11-02,11775285,11775285,11775285,BFA
2022-11-03,11714178,11714178,11714178,BFA
2022-11-04,11647442,11647442,11647442,BFA
2022-11-05,11599091,11599091,11599091,BFA
2022-11-06,11530671,11530671,11530671,BFA
2022-11-07,11516430,11516430,11516430,BFA
2022-11-08,11399828,11399828,11399828,BFA
2022-11-09,11216625,11216625,11216625,BFA
2022-11-10,11208628,11208628,11208628,BFA
2022-11-11,11256200,11256200,11256200,BFA
2022-11-12,11282806,11282806,11282806,BFA
2022-11-13,11302175,11302175,11302175,BFA
2022-11-14,11286173,11286173,11286173,BFA
2022-11-15,11261110,11261110,11261110,BFA
2022-11-16,11175989,11175989,11175989,BFA
2022-11-17,11166442,11166442,11166442,BFA
2022-11-18,11034994,11034994,11034994,BFA
2022-11-19,11175442,11175442,11175442,BFA
2022-11-20,11108980,11108980,11108980,BFA
2022-11-21,11206282,11206282,11206282,BFA
2022-11-22,11237893,11237893,11237893,BFA
2022-11-23,11197911,11197911,11197911,BFA
2022-11-24,11138411,11138411,11138411,BFA
2022-11-25,11081943,11081943,11081943,BFA
2022-11-26,11224727,11224727,11224727,BFA
2022-11-27,11375774,11375774,11375774,BFA
2022-11-28,11296046,11296046,11296046,BFA
2022-11-29,11310157,11310157,11310157,BFA
2022-11-30,11305152,11305152,11305152,BFA
2022-12-01,11203220,11203220,11203220,BFA
2022-12-02,11187242,11187242,11187242,BFA
2022-12-03,11259425,11259425,11259425,BFA
2022-12-04,11326385,11326385,11326385,BFA
2022-12-05,11276911,11276911,11276911,BFA
2022-12-06,11267677,11267677,11267677,BFA
2022-12-07,11263274,11263274,11263274,BFA
2022-12-08,11376756,11376756,11376756,BFA
2022-12-09,11394821,11394821,11394821,BFA
2022-12-10,11527329,11527329,11527329,BFA
2022-12-11,11411023,11411023,11411023,BFA
2022-12-12,11372207,11372207,11372207,BFA
2022-12-13,11374083,11374083,11374083,BFA
2022-12-14,11379803,11379803,11379803,BFA
2022-12-15,11428131,11428131,11428131,BFA
2022-12-16,11481028,11481028,11481028,BFA
2022-12-17,11429909,11429909,11429909,BFA
2022-12-18,11432183,11432183,11432183,BFA
2022-12-19,11376113,11376113,11376113,BFA
2022-12-20,11397761,11397761,11397761,BFA
2022-12-21,11236232,11236232,11236232,BFA
2022-12-22,11199507,11199507,11199507,BFA
2022-12-23,11274752,11274752,11274752,BFA
2022-12-24,11290730,11290730,11290730,BFA
2022-12-25,11358597,11358597,11358597,BFA
2022-12-26,11398218,11398218,11398218,BFA
2022-12-27,11431566,11431566,11431566,BFA
2022-12-28,11398084,11398084,11398084,BFA
2022-12-29,11398497,11398497,11398497,BFA
2022-12-30,11335635,11335635,11335635,BFA
2022-12-31,11443466,11443466,11443466,BFA
2023-01-01,11354823,11354823,11354823,BFA
2023-01-02,11362396,11362396,11362396,BFA
2023-01-03,11417269,11417269,11417269,BFA
2023-01-04,11468441,11468441,11468441,BFA
2023-01-05,11433626,11433626,11433626,BFA
2023-01-06,11406874,11406874,11406874,BFA
2023-01-07,11414010,11414010,11414010,BFA
2023-01-08,11425304,11425304,11425304,BFA
2023-01-09,11289310,11289310,11289310,BFA
2023-01-10,11328929,11328929,11328929,BFA
2023-01-11,11368046,11368046,11368046,BFA
2023-01-12,11433198,11433198,11433198,BFA
2023-01-13,11516612,11516612,11516612,BFA
2023-01-14,11593670,11593670,11593670,BFA
2023-01-15,11636582,11636582,11636582,BFA
2023-01-16,11674570,11674570,11674570,BFA
2023-01-17,11701060,11701060,11701060,BFA
2023-01-18,11724369,11724369,11724369,BFA
2023-01-19,11582303,11582303,11582303,BFA
2023-01-20,11736370,11736370,11736370,BFA
2023-01-21,11691850,11691850,11691850,BFA
2023-01-22,11692736,11692736,11692736,BFA
2023-01-23,11767215,11767215,11767215,BFA
2023-01-24,11789708,11789708,11789708,BFA
2023-01-25,11791831,11791831,11791831,BFA
2023-01-26,11736969,11736969,11736969,BFA
2023-01-27,12029097,12029097,12029097,BFA
2023-01-28,11914718,11914718,11914718,BFA
2023-01-29,11855855,11855855,11855855,BFA
2023-01-30,11736197,11736197,11736197,BFA
2023-01-31,11842231,11842231,11842231,BFA
2023-02-01,11846178,11846178,11846178,BFA
